max_temp,min_temp,humidity,steps
40.95,29.41,76,1160
38.99,24.07,60,1816
35.97,24.8,46,1955
39.38,27.01,66,2025
37.2,30.66,69,1168
44.37,27.53,56,1682
39.34,30.32,33,2031
43.76,24.12,67,1962
41.65,30.35,29,1559
35.13,25.51,57,1209
35.6,24.77,75,1274
43.46,31.37,48,1563
44.48,27.78,49,1514
45.82,32.36,69,1609
36.2,24.99,32,1819
39.75,30.4,50,1174
44.22,29.77,15,1828
44.02,27.03,46,1845
37.41,24.39,5,1391
44.8,32.1,44,2053
39.3,31.96,4,1971
37.98,24.63,70,1994
38.67,25.14,28,1986
38.83,26.78,57,1523
39.24,24.89,31,1127
45.12,30.33,7,1523
43.63,23.14,34,1241
35.57,26.94,59,1920
39.4,27.75,30,2092
45.95,26.38,48,1952
